Z_0,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,Z_7,Z_8
2.477,-0.856,-0.847,-0.916,-0.62,0.863,-1.217,-0.28,2.644
2.477,-0.856,-0.847,-0.916,-0.62,1.056,-1.217,-0.28,1.561
0.491,0.795,-0.847,2.174,-1.038,-0.526,-2.24,3.551,0.266
0.491,0.795,-0.847,2.174,-1.038,-0.526,-2.24,5.055,0.313
-0.79,0.678,-0.847,0.489,-1.038,0.07,0.648,4.976,0.508
-0.145,0.465,-0.847,2.174,-1.038,-0.526,-1.292,0.702,0.671
0.946,0.245,-0.847,2.174,-1.038,-0.526,-2.24,5.055,0.472
0.946,0.245,-0.847,2.174,-1.038,-0.526,-2.24,-0.28,0.038
-0.145,0.465,-0.847,2.174,-1.038,-0.526,-1.292,-0.28,0.601
1.855,-0.856,-0.847,2.174,-1.038,-0.526,-2.24,-0.28,0.208
-0.79,0.678,-0.847,0.489,-1.038,0.07,0.648,0.702,0.135
-0.79,0.678,-0.847,0.489,-1.038,0.07,0.648,-0.28,-0.467
1.4,-0.306,-0.847,2.174,-1.038,-0.526,-2.24,3.551,0.431
-0.872,1.346,-0.847,2.174,-1.038,-0.526,-1.292,0.702,0.39
0.218,0.024,-0.847,2.174,-1.038,-0.526,-1.292,-0.28,0.718
0.946,-0.856,-0.847,2.174,-1.038,-0.526,-1.292,0.702,1.023
-1.355,1.571,-0.847,0.489,-1.038,0.953,0.416,0.702,0.212
0.582,-0.416,-0.847,2.174,-1.038,-0.526,-1.292,5.055,1.217
0.946,0.245,-0.847,2.174,-1.038,-0.526,-2.24,0.702,0.284
1.855,-0.856,-0.847,2.174,-1.038,-0.526,-2.24,2.127,0.407
1.4,-0.306,-0.847,2.174,-1.038,-0.526,-2.24,2.127,0.36
-1.355,1.571,-0.847,0.489,-1.038,0.953,0.416,-0.28,-0.454
-1.355,1.571,-0.847,0.489,-1.038,0.953,0.416,-0.675,-1.661
-1.355,1.571,-0.847,0.489,-1.038,0.953,0.416,2.127,0.502
0.946,-0.856,-0.847,2.174,-1.038,-0.526,-1.292,5.055,1.0
0.946,-0.856,-0.847,2.174,-1.038,-0.526,-1.292,3.551,1.047
0.946,0.245,-0.847,2.174,-1.038,-0.526,-2.24,3.551,0.319
0.582,-0.416,-0.847,2.174,-1.038,-0.526,-1.292,2.127,0.976
1.4,-0.306,-0.847,2.174,-1.038,-0.526,-2.24,-0.28,0.096
1.855,-0.856,-0.847,2.174,-1.038,-0.526,-2.24,-0.612,0.167
0.218,0.024,-0.847,2.174,-1.038,-0.526,-1.292,5.055,1.164
-0.145,0.465,-0.847,2.174,-1.038,-0.526,-1.292,5.055,1.023
-0.79,0.678,-0.847,0.489,-1.038,0.07,0.648,2.127,0.353
1.855,-0.856,-0.847,2.174,-1.038,-0.526,-2.24,3.551,0.378
-0.872,1.346,-0.847,2.174,-1.038,-0.526,-1.292,5.055,1.07
-0.418,1.896,-0.847,2.174,-1.038,-0.526,-2.24,3.551,0.155
-0.418,1.896,-0.847,2.174,-1.038,-0.526,-2.24,-0.28,-0.343
0.491,0.795,-0.847,2.174,-1.038,-0.526,-2.24,0.702,0.114
1.855,-0.856,-0.847,2.174,-1.038,-0.526,-2.24,0.702,0.384
-0.418,1.896,-0.847,2.174,-1.038,-0.526,-2.24,2.127,0.026
0.582,-0.416,-0.847,2.174,-1.038,-0.526,-1.292,0.702,0.876
1.4,-0.306,-0.847,2.174,-1.038,-0.526,-2.24,5.055,0.472
-0.418,1.896,-0.847,2.174,-1.038,-0.526,-2.24,5.055,0.19
0.946,-0.856,-0.847,2.174,-1.038,-0.526,-1.292,2.127,1.035
1.4,-0.306,-0.847,2.174,-1.038,-0.526,-2.24,0.702,0.343
1.4,-0.306,-0.847,2.174,-1.038,-0.526,-2.24,-0.612,-0.044
0.649,-0.856,-0.847,0.489,-1.038,0.953,0.416,-0.675,-1.243
0.946,0.245,-0.847,2.174,-1.038,-0.526,-2.24,2.127,0.296
-0.418,1.896,-0.847,2.174,-1.038,-0.526,-2.24,-0.612,-0.572
0.946,0.245,-0.847,2.174,-1.038,-0.526,-2.24,-0.612,-0.179
0.491,0.795,-0.847,2.174,-1.038,-0.526,-2.24,2.127,0.237
-0.872,1.346,-0.847,2.174,-1.038,-0.526,-1.292,2.127,0.665
-0.418,1.896,-0.847,2.174,-1.038,-0.526,-2.24,0.702,-0.162
0.218,0.024,-0.847,2.174,-1.038,-0.526,-1.292,0.702,0.8
-1.355,1.571,-0.847,0.489,-1.038,0.953,0.416,-0.612,-1.271
-0.79,0.678,-0.847,0.489,-1.038,0.07,0.648,-0.612,-1.268
1.855,-0.856,-0.847,2.174,-1.038,-0.526,-2.24,5.055,0.366
-0.79,0.678,-0.847,0.489,-1.038,0.07,0.648,-0.675,-1.597
0.218,0.024,-0.847,2.174,-1.038,-0.526,-1.292,2.127,0.906
0.491,0.795,-0.847,2.174,-1.038,-0.526,-2.24,-0.28,-0.168
0.218,0.024,-0.847,2.174,-1.038,-0.526,-1.292,3.551,1.111
-0.145,0.465,-0.847,2.174,-1.038,-0.526,-1.292,3.551,0.953
0.276,-0.856,-0.847,0.489,-1.038,-0.025,0.961,-0.675,-1.553
-0.872,1.346,-0.847,2.174,-1.038,-0.526,-1.292,3.551,0.888
-0.145,0.465,-0.847,2.174,-1.038,-0.526,-1.292,2.127,0.771
0.582,-0.416,-0.847,2.174,-1.038,-0.526,-1.292,3.551,1.152
-1.355,1.571,-0.847,0.489,-1.038,0.953,0.416,4.976,0.532
0.491,0.795,-0.847,2.174,-1.038,-0.526,-2.24,-0.612,-0.332
-0.872,1.346,-0.847,2.174,-1.038,-0.526,-1.292,-0.28,0.302
1.95,-0.856,-0.847,-1.665,-1.038,1.892,0.33,-0.28,2.165
0.888,1.336,-0.847,-0.537,0.652,-0.602,-0.211,-0.675,-0.085
0.307,2.183,-0.847,-0.284,0.401,0.951,-2.018,-0.675,-0.42
1.376,0.376,-0.847,-1.314,1.724,-1.554,1.416,-0.675,-0.145
1.376,0.376,-0.847,-1.413,2.075,-0.475,0.376,-0.675,0.029
0.898,0.231,-0.847,-2.574,2.879,-1.554,2.732,-0.675,-0.408
1.855,0.52,-0.847,-0.022,0.451,-1.554,0.099,-0.675,0.118
1.797,0.502,-0.847,-2.049,4.352,-1.554,0.835,-0.675,0.262
1.376,0.376,-0.847,-1.314,1.724,-1.554,1.416,-0.675,-0.145
1.028,0.269,-0.847,-1.108,0.987,-1.554,1.897,-0.675,-0.462
2.393,-0.856,-0.847,-1.862,3.682,-1.554,1.498,-0.675,0.328
1.376,0.376,-0.847,-1.314,1.724,-1.554,1.416,-0.675,-0.145
0.36,1.606,-0.847,-1.211,1.355,-1.554,1.332,-0.675,-0.636
1.154,0.241,-0.847,-1.6,0.87,-0.336,0.979,-0.675,0.316
0.779,1.334,-0.847,-0.78,0.903,-0.363,-0.222,-0.675,-0.031
0.407,2.421,-0.847,0.105,0.686,-0.389,-1.418,-0.675,-0.45
0.941,0.896,-0.847,-1.296,1.623,2.076,-2.103,-0.675,-0.432
0.779,1.334,-0.847,-0.78,0.903,-0.363,-0.222,-0.675,-0.031
0.049,1.472,-0.847,-1.726,0.837,0.407,0.376,-0.675,-0.683
0.779,1.334,-0.847,-0.78,0.903,-0.363,-0.222,-0.675,-0.031
1.51,1.195,-0.847,0.208,0.82,-1.132,-0.819,-0.675,0.208
1.04,1.334,-0.847,-1.67,2.644,-0.363,-0.222,-0.675,0.286
0.779,1.334,-0.847,-0.78,0.903,-0.363,-0.222,-0.675,-0.031
0.543,1.334,-0.847,-0.312,0.552,-0.363,-0.222,-0.675,-0.702
0.888,1.336,-0.847,-0.537,0.652,-0.602,-0.211,-0.612,0.622
0.307,2.183,-0.847,-0.284,0.401,0.951,-2.018,-0.612,0.418
1.376,0.376,-0.847,-1.314,1.724,-1.554,1.416,-0.612,0.801
1.376,0.376,-0.847,-1.413,2.075,-0.475,0.376,-0.612,0.657
0.898,0.231,-0.847,-2.574,2.879,-1.554,2.732,-0.612,0.591
1.855,0.52,-0.847,-0.022,0.451,-1.554,0.099,-0.612,1.184
1.797,0.502,-0.847,-2.049,4.352,-1.554,0.835,-0.612,1.142
1.376,0.376,-0.847,-1.314,1.724,-1.554,1.416,-0.612,0.801
1.028,0.269,-0.847,-1.108,0.987,-1.554,1.897,-0.612,-0.055
2.393,-0.856,-0.847,-1.862,3.682,-1.554,1.498,-0.612,0.663
1.376,0.376,-0.847,-1.314,1.724,-1.554,1.416,-0.612,0.801
0.36,1.606,-0.847,-1.211,1.355,-1.554,1.332,-0.612,-0.145
1.154,0.241,-0.847,-1.6,0.87,-0.336,0.979,-0.612,1.094
0.779,1.334,-0.847,-0.78,0.903,-0.363,-0.222,-0.612,1.202
0.407,2.421,-0.847,0.105,0.686,-0.389,-1.418,-0.612,0.837
0.941,0.896,-0.847,-1.296,1.623,2.076,-2.103,-0.612,0.675
0.779,1.334,-0.847,-0.78,0.903,-0.363,-0.222,-0.612,1.202
0.049,1.472,-0.847,-1.726,0.837,0.407,0.376,-0.612,0.13
0.779,1.334,-0.847,-0.78,0.903,-0.363,-0.222,-0.612,1.202
1.51,1.195,-0.847,0.208,0.82,-1.132,-0.819,-0.612,1.214
1.04,1.334,-0.847,-1.67,2.644,-0.363,-0.222,-0.612,1.393
0.779,1.334,-0.847,-0.78,0.903,-0.363,-0.222,-0.612,-0.773
0.543,1.334,-0.847,-0.312,0.552,-0.363,-0.222,-0.612,-0.043
0.888,1.336,-0.847,-0.537,0.652,-0.602,-0.211,-0.28,1.513
0.307,2.183,-0.847,-0.284,0.401,0.951,-2.018,-0.28,1.435
1.376,0.376,-0.847,-1.314,1.724,-1.554,1.416,-0.28,1.465
1.376,0.376,-0.847,-1.413,2.075,-0.475,0.376,-0.28,1.555
0.898,0.231,-0.847,-2.574,2.879,-1.554,2.732,-0.28,1.25
1.855,0.52,-0.847,-0.022,0.451,-1.554,0.099,-0.28,1.944
1.797,0.502,-0.847,-2.049,4.352,-1.554,0.835,-0.28,1.861
1.376,0.376,-0.847,-1.314,1.724,-1.554,1.416,-0.28,1.465
1.028,0.269,-0.847,-1.108,0.987,-1.554,1.897,-0.28,0.891
2.393,-0.856,-0.847,-1.862,3.682,-1.554,1.498,-0.28,1.232
1.376,0.376,-0.847,-1.314,1.724,-1.554,1.416,-0.28,1.465
0.36,1.606,-0.847,-1.211,1.355,-1.554,1.332,-0.28,1.178
1.154,0.241,-0.847,-1.6,0.87,-0.336,0.979,-0.28,1.956
0.779,1.334,-0.847,-0.78,0.903,-0.363,-0.222,-0.28,2.124
0.407,2.421,-0.847,0.105,0.686,-0.389,-1.418,-0.28,2.327
0.941,0.896,-0.847,-1.296,1.623,2.076,-2.103,-0.28,0.981
0.779,1.334,-0.847,-0.78,0.903,-0.363,-0.222,-0.28,2.124
0.049,1.472,-0.847,-1.726,0.837,0.407,0.376,-0.28,1.908
0.779,1.334,-0.847,-0.78,0.903,-0.363,-0.222,-0.28,2.124
1.51,1.195,-0.847,0.208,0.82,-1.132,-0.819,-0.28,1.806
1.04,1.334,-0.847,-1.67,2.644,-0.363,-0.222,-0.28,2.315
0.779,1.334,-0.847,-0.78,0.903,-0.363,-0.222,-0.28,2.124
0.543,1.334,-0.847,-0.312,0.552,-0.363,-0.222,-0.28,0.843
0.888,1.336,-0.847,-0.537,0.652,-0.602,-0.211,0.164,1.651
0.307,2.183,-0.847,-0.284,0.401,0.951,-2.018,0.164,1.741
1.376,0.376,-0.847,-1.314,1.724,-1.554,1.416,0.164,1.705
1.376,0.376,-0.847,-1.413,2.075,-0.475,0.376,0.164,1.741
0.898,0.231,-0.847,-2.574,2.879,-1.554,2.732,0.164,1.459
1.855,0.52,-0.847,-0.022,0.451,-1.554,0.099,0.164,2.184
1.797,0.502,-0.847,-2.049,4.352,-1.554,0.835,0.164,2.004
1.376,0.376,-0.847,-1.314,1.724,-1.554,1.416,0.164,1.705
1.028,0.269,-0.847,-1.108,0.987,-1.554,1.897,0.164,1.16
2.393,-0.856,-0.847,-1.862,3.682,-1.554,1.498,0.164,1.376
1.376,0.376,-0.847,-1.314,1.724,-1.554,1.416,0.164,1.705
0.36,1.606,-0.847,-1.211,1.355,-1.554,1.332,0.164,1.813
